asv	Kingdom	Phylum	Class	Order	Family	Genus	Species
asv01822	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Terrimicrobiaceae	Terrimicrobium	unclassified
asv01823	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	uncultured	uncultured	unclassified
asv01824	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces_israelii
asv01825	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Asticcacaulis	Asticcacaulis_solisilvae
asv01826	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	M2PB4-61_termite_group	unclassified
asv01827	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylobacterium-Methylorubrum	uncultured_organism
asv01828	Bacteria	Firmicutes	Bacilli	Acholeplasmatales	Acholeplasmataceae	Anaeroplasma	uncultured_bacterium
asv01829	Bacteria	Proteobacteria	Alphaproteobacteria	Micropepsales	Micropepsaceae	Micropepsaceae	uncultured_proteobacterium
asv01830	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Chlamydiaceae	uncultured	metagenome
asv01831	Bacteria	Firmicutes	Bacilli	Alicyclobacillales	Alicyclobacillaceae	Acidibacillus	uncultured_bacterium
asv01832	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Leucobacter	unclassified
asv01833	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus_sp.
asv01834	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	unclassified	unclassified
asv01835	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	JG30-KF-CM45	bacterium_QTYC46b
asv01836	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Puniceicoccaceae	Verruc-01	Opitutae_bacterium
asv01837	Bacteria	Firmicutes	Desulfotomaculia	Desulfotomaculales	Desulfotomaculales	Pelotomaculum	unclassified
asv01838	Bacteria	FCPU426	FCPU426	FCPU426	FCPU426	FCPU426	unclassified
